metric,average,sd
accuracy,0.9790424787606198,0.01997619027892696
recall,0.8707155329973643,0.18252207588937586
precision,0.8332682591047983,0.196182515382603
f1_score,,
mcc_score,0.834653710060358,0.17758221579792102
